URL,Size,Threads,KeepAlive,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,61.74,3.24,0.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,68.94,3.29,0.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,63.25,3.30,0.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,60.79,3.24,0.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,59.70,3.26,0.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,60.29,3.29,0.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,60.64,3.27,0.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,57.73,3.31,0.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,57.67,3.28,0.32
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,61.24,3.23,0.28
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,62.86,3.33,0.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,58.47,3.43,0.39
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,62.49,3.39,0.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,59.79,3.29,0.34
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,58.76,3.30,0.37
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,58.78,3.30,0.34
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,59.89,3.33,0.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,61.57,3.30,0.34
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,59.69,3.35,0.29
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,63.69,3.34,0.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,72.53,3.56,0.62
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,60.91,3.61,0.62
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,63.19,3.56,0.66
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,64.81,3.57,0.67
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,63.03,3.55,0.68
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,61.83,3.58,0.67
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,56.70,3.54,0.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,59.45,3.54,0.71
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,66.31,3.55,0.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,61.93,3.57,0.66
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,77.52,4.46,2.23
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,76.34,4.44,2.26
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,76.06,4.45,2.20
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,79.28,4.41,2.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,76.24,4.37,2.22
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,71.85,4.45,2.17
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,84.81,4.42,2.27
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,71.86,4.49,2.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,76.01,4.49,2.37
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,0,81.29,4.39,2.26
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,84.29,5.40,4.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,75.30,5.33,4.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,80.14,5.54,4.22
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,75.16,5.22,4.37
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,76.79,5.41,4.29
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,78.37,5.36,4.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,73.52,5.24,4.37
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,75.69,5.36,4.42
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,84.14,5.32,4.42
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,0,72.50,5.35,4.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,8.41,0.13,0.36
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.08,0.11,0.17
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,5.70,0.12,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.59,0.12,0.16
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.79,0.13,0.14
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,4.91,0.11,0.17
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.06,0.12,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.65,0.13,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,7.20,0.13,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.25,0.12,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,4.93,0.14,0.18
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,4.57,0.17,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,5.63,0.14,0.19
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.01,0.14,0.19
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.06,0.15,0.19
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.22,0.15,0.19
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,8.87,0.16,0.17
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,7.21,0.15,0.20
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.65,0.16,0.18
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.46,0.14,0.18
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,9.35,0.28,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,8.75,0.30,0.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,9.16,0.33,0.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.36,0.29,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.51,0.31,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.03,0.29,0.55
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.23,0.28,0.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.60,0.29,0.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,8.64,0.31,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.66,0.30,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.47,1.00,2.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,11.89,0.98,2.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.08,0.91,2.36
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.97,0.97,2.39
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,16.42,0.97,2.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.05,0.96,2.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.14,1.01,2.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.54,0.90,2.45
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.53,0.94,2.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,16.27,0.91,2.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,18.95,1.94,4.62
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,17.74,1.72,4.83
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.92,1.79,4.63
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,21.97,1.82,4.64
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,19.78,1.71,4.73
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.01,1.78,4.66
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,21.21,1.79,4.73
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.94,1.80,4.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,17.22,1.87,4.80
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,18.21,1.70,4.66
